Freq.	I(C)/V(n001)
5.88843655355588e+001	2.93389873330333e-005,2.48118119303283e-004
6.02559586074357e+001	3.07017390429675e-005,2.53732639302333e-004
6.16595001861481e+001	3.21268193794857e-005,2.59466379954181e-004
6.30957344480192e+001	3.36169871270925e-005,2.65321319728034e-004
6.45654229034654e+001	3.51751144641045e-005,2.71299429404118e-004
6.60693448007595e+001	3.68041907912532e-005,2.77402668440232e-004
6.76082975391980e+001	3.85073266070743e-005,2.83632981051724e-004
6.91830970918935e+001	4.02877574211515e-005,2.89992291988830e-004
7.07945784384136e+001	4.21488476950291e-005,2.96482501994818e-004
7.24435960074988e+001	4.40940947992446e-005,3.03105482927893e-004
7.41310241300916e+001	4.61271329734561e-005,3.09863072529441e-004
7.58577575029182e+001	4.82517372750454e-005,3.16757068820743e-004
7.76247116628690e+001	5.04718274998564e-005,3.23789224110062e-004
7.94328234724279e+001	5.27914720568799e-005,3.30961238591701e-004
8.12830516164097e+001	5.52148917767129e-005,3.38274753518539e-004
8.31763771102669e+001	5.77464636314965e-005,3.45731343929478e-004
8.51138038202374e+001	6.03907243417750e-005,3.53332510913327e-004
8.70963589956078e+001	6.31523738433094e-005,3.61079673390874e-004
8.91250938133743e+001	6.60362785843268e-005,3.68974159397264e-004
9.12010839355907e+001	6.90474746209872e-005,3.77017196847371e-004
9.33254300796988e+001	7.21911704760089e-005,3.85209903767598e-004
9.54992586021433e+001	7.54727497224121e-005,3.93553277978550e-004
9.77237220955808e+001	7.88977732512222e-005,4.02048186214257e-004
9.99999999999997e+001	8.24719811787388e-005,4.10695352665147e-004
1.02329299228075e+002	8.62012943456143e-005,4.19495346933823e-004
1.04712854805090e+002	9.00918153565366e-005,4.28448571394875e-004
1.07151930523760e+002	9.41498291057740e-005,4.37555247952516e-004
1.09647819614318e+002	9.83818027302453e-005,4.46815404192810e-004
1.12201845430196e+002	1.02794384928155e-004,4.56228858930679e-004
1.14815362149688e+002	1.07394404577612e-004,4.65795207155759e-004
1.17489755493953e+002	1.12188868586068e-004,4.75513804385601e-004
1.20226443461741e+002	1.17184958897908e-004,4.85383750439669e-004
1.23026877081238e+002	1.22390028584177e-004,4.95403872653123e-004
1.25892541179416e+002	1.27811596935248e-004,5.05572708555553e-004
1.28824955169313e+002	1.33457343474322e-004,5.15888488046587e-004
1.31825673855640e+002	1.39335100807099e-004,5.26349115107811e-004
1.34896288259165e+002	1.45452846220773e-004,5.36952149098537e-004
1.38038426460288e+002	1.51818691943860e-004,5.47694785691839e-004
1.41253754462275e+002	1.58440873977313e-004,5.58573837516784e-004
1.44543977074592e+002	1.65327739407041e-004,5.69585714583076e-004
1.47910838816820e+002	1.72487732108417e-004,5.80726404575213e-004
1.51356124843620e+002	1.79929376754792e-004,5.91991453114858e-004
1.54881661891248e+002	1.87661261044547e-004,6.03375944102311e-004
1.58489319246111e+002	1.95692016064884e-004,6.14874480260706e-004
1.62181009735892e+002	2.04030294715656e-004,6.26481164019760e-004
1.65958690743755e+002	2.12684748123031e-004,6.38189578889489e-004
1.69824365246174e+002	2.21663999980948e-004,6.49992771488117e-004
1.73780082874937e+002	2.30976618768257e-004,6.61883234402361e-004
1.77827941003892e+002	2.40631087801199e-004,6.73852890072086e-004
1.81970085860998e+002	2.50635773094689e-004,6.85893075904950e-004
1.86208713666286e+002	2.60998889021790e-004,6.97994530839703e-004
1.90546071796324e+002	2.71728461778815e-004,7.10147383589139e-004
1.94984459975804e+002	2.82832290683885e-004,7.22341142804987e-004
1.99526231496887e+002	2.94317907359352e-004,7.34564689416901e-004
2.04173794466952e+002	3.06192532873408e-004,7.46806271405983e-004
2.08929613085403e+002	3.18463032943293e-004,7.59053501279391e-004
2.13796208950222e+002	3.31135871331779e-004,7.71293356516336e-004
2.18776162394954e+002	3.44217061599772e-004,7.83512183256677e-004
2.23872113856833e+002	3.57712117410875e-004,7.95695703500985e-004
2.29086765276776e+002	3.71626001618180e-004,8.07829026085036e-004
2.34422881531991e+002	3.85963074399146e-004,8.19896661681727e-004
2.39883291901948e+002	4.00727040740713e-004,8.31882542069150e-004
2.45470891568502e+002	4.15920897613337e-004,8.43770043884524e-004
2.51188643150957e+002	4.31546881208796e-004,8.55542017059769e-004
2.57039578276885e+002	4.47606414651851e-004,8.67180818105346e-004
2.63026799189537e+002	4.64100056629330e-004,8.78668348374531e-004
2.69153480392690e+002	4.81027451411341e-004,8.89986097400421e-004
2.75422870333816e+002	4.98387280767109e-004,9.01115191352815e-004
2.81838293126444e+002	5.16177218301716e-004,9.12036446611785e-004
2.88403150312659e+002	5.34393886758792e-004,9.22730428399535e-004
2.95120922666637e+002	5.53032818847210e-004,9.33177514352574e-004
3.01995172040200e+002	5.72088422156162e-004,9.43357962852793e-004
3.09029543251358e+002	5.91553948721922e-004,9.53251985869477e-004
3.16227766016837e+002	6.11421469800359e-004,9.62839825995608e-004
3.23593656929627e+002	6.31681856381318e-004,9.72101837291823e-004
3.31131121482590e+002	6.52324765953783e-004,9.81018569481517e-004
3.38844156139201e+002	6.73338635994024e-004,9.89570854971827e-004
3.46736850452530e+002	6.94710684602555e-004,9.97739898109198e-004
3.54813389233574e+002	7.16426918659737e-004,1.00550736601617e-003
3.63078054770100e+002	7.38472149804613e-004,1.01285548029952e-003
3.71535229097171e+002	7.60830018467535e-004,1.01976710887039e-003
3.80189396320559e+002	7.83483026105121e-004,1.02622585707580e-003
3.89045144994279e+002	8.06412575697160e-004,1.03221615730960e-003
3.98107170553495e+002	8.29599020470404e-004,1.03772335625047e-003
4.07380277804111e+002	8.53021720715294e-004,1.04273379886578e-003
4.16869383470333e+002	8.76659108460236e-004,1.04723490832467e-003
4.26579518801591e+002	9.00488759665784e-004,1.05121526098101e-003
4.36515832240164e+002	9.24487473500105e-004,1.05466465561794e-003
4.46683592150961e+002	9.48631358159161e-004,1.05757417619054e-003
4.57088189614873e+002	9.72895922602387e-004,1.05993624736093e-003
4.67735141287196e+002	9.97256173489052e-004,1.06174468219029e-003
4.78630092322636e+002	1.02168671652390e-003,1.06299472143447e-003
4.89778819368444e+002	1.04616186135479e-003,1.06368306398173e-003
5.01187233627270e+002	1.07065572911142e-003,1.06380788807186e-003
5.12861383991362e+002	1.09514236163372e-003,1.06336886304372e-003
5.24807460249770e+002	1.11959583141289e-003,1.06236715147028e-003
5.37031796370250e+002	1.14399035125685e-003,1.06080540165573e-003
5.49540873857622e+002	1.16830038269613e-003,1.05868773058453e-003
5.62341325190346e+002	1.19250074216573e-003,1.05601969752623e-003
5.75439937337154e+002	1.21656670403237e-003,1.05280826860990e-003
5.88843655355586e+002	1.24047409958451e-003,1.04906177278588e-003
6.02559586074355e+002	1.26419941116319e-003,1.04478984968888e-003
6.16595001861479e+002	1.28771986068369e-003,1.04000339000272e-003
6.30957344480190e+002	1.31101349188001e-003,1.03471446900289e-003
6.45654229034652e+002	1.33405924569375e-003,1.02893627401652e-003
6.60693448007592e+002	1.35683702832492e-003,1.02268302658973e-003
6.76082975391978e+002	1.37932777156211e-003,1.01596990018964e-003
6.91830970918933e+002	1.40151348511127e-003,1.00881293429178e-003
7.07945784384134e+002	1.42337730074457e-003,1.00122894571363e-003
7.24435960074986e+002	1.44490350819083e-003,9.93235438052114e-004
7.41310241300914e+002	1.46607758278589e-003,9.84850510067447e-004
7.58577575029180e+002	1.48688620499286e-003,9.76092763829085e-004
7.76247116628688e+002	1.50731727198755e-003,9.66981213402534e-004
7.94328234724277e+002	1.52735990158167e-003,9.57535194809729e-004
8.12830516164095e+002	1.54700442882619e-003,9.47774277942130e-004
8.31763771102666e+002	1.56624239569685e-003,9.37718181045896e-004
8.51138038202372e+002	1.58506653431475e-003,9.27386688334025e-004
8.70963589956076e+002	1.60347074419590e-003,9.16799571212662e-004
8.91250938133741e+002	1.62145006405493e-003,9.05976513539190e-004
9.12010839355905e+002	1.63900063871022e-003,8.94937041259663e-004
9.33254300796986e+002	1.65611968165064e-003,8.83700456703744e-004
9.54992586021431e+002	1.67280543382887e-003,8.72285777747658e-004
9.77237220955805e+002	1.68905711924293e-003,8.60711681990823e-004
9.99999999999994e+002	1.70487489785751e-003,8.48996456030396e-004
1.02329299228075e+003	1.72025981640039e-003,8.37157949860777e-004
1.04712854805089e+003	1.73521375754749e-003,8.25213536372608e-004
1.07151930523760e+003	1.74973938798401e-003,8.13180075878306e-004
1.09647819614318e+003	1.76384010579941e-003,8.01073885548922e-004
1.12201845430196e+003	1.77751998764125e-003,7.88910713610319e-004
1.14815362149688e+003	1.79078373601875e-003,7.76705718115137e-004
1.17489755493952e+003	1.80363662711050e-003,7.64473450080799e-004
1.20226443461741e+003	1.81608445939499e-003,7.52227840762659e-004
1.23026877081237e+003	1.82813350338560e-003,7.39982192815039e-004
1.25892541179416e+003	1.83979045271599e-003,7.27749175081118e-004
1.28824955169313e+003	1.85106237678691e-003,7.15540820744918e-004
1.31825673855640e+003	1.86195667515158e-003,7.03368528574810e-004
1.34896288259165e+003	1.87248103378486e-003,6.91243066987466e-004
1.38038426460288e+003	1.88264338335144e-003,6.79174580663704e-004
1.41253754462275e+003	1.89245185956001e-003,6.67172599452826e-004
1.44543977074592e+003	1.90191476566455e-003,6.55246049309385e-004
1.47910838816820e+003	1.91104053715036e-003,6.43403265015542e-004
1.51356124843620e+003	1.91983770862093e-003,6.31652004452872e-004
1.54881661891247e+003	1.92831488288284e-003,6.19999464199373e-004
1.58489319246110e+003	1.93648070220888e-003,6.08452296240225e-004
1.62181009735892e+003	1.94434382174486e-003,5.97016625594220e-004
1.65958690743755e+003	1.95191288501312e-003,5.85698068671525e-004
1.69824365246173e+003	1.95919650145468e-003,5.74501752192422e-004
1.73780082874936e+003	1.96620322594345e-003,5.63432332510472e-004
1.77827941003891e+003	1.97294154019820e-003,5.52494015197322e-004
1.81970085860997e+003	1.97941983601291e-003,5.41690574759751e-004
1.86208713666286e+003	1.98564640022115e-003,5.31025374372457e-004
1.90546071796323e+003	1.99162940130784e-003,5.20501385522596e-004
1.94984459975803e+003	1.99737687757913e-003,5.10121207473917e-004
1.99526231496887e+003	2.00289672680090e-003,4.99887086469491e-004
2.04173794466952e+003	2.00819669721593e-003,4.89800934602705e-004
2.08929613085403e+003	2.01328437985074e-003,4.79864348295940e-004
2.13796208950222e+003	2.01816720202449e-003,4.70078626335544e-004
2.18776162394954e+003	2.02285242197423e-003,4.60444787420189e-004
2.23872113856832e+003	2.02734712451317e-003,4.50963587187437e-004
2.29086765276776e+003	2.03165821764159e-003,4.41635534690417e-004
2.34422881531991e+003	2.03579243003271e-003,4.32460908303005e-004
2.39883291901947e+003	2.03975630931960e-003,4.23439771037639e-004
2.45470891568501e+003	2.04355622111225e-003,4.14571985265184e-004
2.51188643150956e+003	2.04719834867761e-003,4.05857226830858e-004
2.57039578276885e+003	2.05068869321916e-003,3.97294998564390e-004
2.63026799189536e+003	2.05403307469596e-003,3.88884643186167e-004
2.69153480392690e+003	2.05723713312488e-003,3.80625355614348e-004
2.75422870333815e+003	2.06030633031327e-003,3.72516194680581e-004
2.81838293126443e+003	2.06324595197279e-003,3.64556094264411e-004
2.88403150312659e+003	2.06606111016851e-003,3.56743873858331e-004
2.95120922666636e+003	2.06875674606075e-003,3.49078248577226e-004
3.01995172040199e+003	2.07133763290014e-003,3.41557838627196e-004
3.09029543251357e+003	2.07380837923978e-003,3.34181178249960e-004
3.16227766016836e+003	2.07617343233071e-003,3.26946724159807e-004
3.23593656929626e+003	2.07843708167027e-003,3.19852863490741e-004
3.31131121482589e+003	2.08060346267518e-003,3.12897921272011e-004
3.38844156139200e+003	2.08267656045367e-003,3.06080167450278e-004
3.46736850452529e+003	2.08466021365344e-003,2.99397823477096e-004
3.54813389233573e+003	2.08655811836442e-003,2.92849068480176e-004
3.63078054770099e+003	2.08837383205711e-003,2.86432045036878e-004
3.71535229097170e+003	2.09011077753956e-003,2.80144864568240e-004
3.80189396320558e+003	2.09177224691741e-003,2.73985612371413e-004
3.89045144994278e+003	2.09336140554350e-003,2.67952352308279e-004
3.98107170553494e+003	2.09488129594467e-003,2.62043131167318e-004
4.07380277804110e+003	2.09633484171509e-003,2.56255982715575e-004
4.16869383470332e+003	2.09772485136659e-003,2.50588931457037e-004
4.26579518801589e+003	2.09905402212777e-003,2.45039996113139e-004
4.36515832240162e+003	2.10032494368460e-003,2.39607192840630e-004
4.46683592150960e+003	2.10154010185649e-003,2.34288538201514e-004
4.57088189614871e+003	2.10270188220248e-003,2.29082051899126e-004
4.67735141287194e+003	2.10381257355310e-003,2.23985759293933e-004
4.78630092322634e+003	2.10487437146435e-003,2.18997693712009e-004
4.89778819368442e+003	2.10588938159076e-003,2.14115898558585e-004
5.01187233627268e+003	2.10685962297518e-003,2.09338429248518e-004
5.12861383991361e+003	2.10778703125360e-003,2.04663354964994e-004
5.24807460249768e+003	2.10867346177352e-003,2.00088760257201e-004
5.37031796370248e+003	2.10952069262539e-003,1.95612746487156e-004
5.49540873857620e+003	2.11033042758628e-003,1.91233433135482e-004
5.62341325190344e+003	2.11110429897607e-003,1.86948958975261e-004
5.75439937337152e+003	2.11184387042620e-003,1.82757483122660e-004
5.88843655355584e+003	2.11255063956164e-003,1.78657185972752e-004
6.02559586074353e+003	2.11322604059676e-003,1.74646270028102e-004
6.16595001861477e+003	2.11387144684615e-003,1.70722960627690e-004
6.30957344480188e+003	2.11448817315164e-003,1.66885506583004e-004
6.45654229034650e+003	2.11507747822669e-003,1.63132180727938e-004
6.60693448007590e+003	2.11564056691985e-003,1.59461280388605e-004
6.76082975391976e+003	2.11617859239863e-003,1.55871127778992e-004
6.91830970918931e+003	2.11669265825578e-003,1.52360070327782e-004
7.07945784384132e+003	2.11718382053945e-003,1.48926480941619e-004
7.24435960074984e+003	2.11765308970925e-003,1.45568758209557e-004
7.41310241300911e+003	2.11810143252004e-003,1.42285326553321e-004
7.58577575029177e+003	2.11852977383536e-003,1.39074636327468e-004
7.76247116628685e+003	2.11893899837243e-003,1.35935163873654e-004
7.94328234724275e+003	2.11932995238075e-003,1.32865411532508e-004
8.12830516164092e+003	2.11970344525612e-003,1.29863907616823e-004
8.31763771102664e+003	2.12006025109219e-003,1.26929206349148e-004
8.51138038202369e+003	2.12040111017144e-003,1.24059887766910e-004
8.70963589956073e+003	2.12072673039745e-003,1.21254557597967e-004
8.91250938133738e+003	2.12103778867047e-003,1.18511847109183e-004
9.12010839355902e+003	2.12133493220819e-003,1.15830412930478e-004
9.33254300796983e+003	2.12161877981346e-003,1.13208936856775e-004
9.54992586021428e+003	2.12188992309094e-003,1.10646125629920e-004
9.77237220955802e+003	2.12214892761428e-003,1.08140710702585e-004
9.99999999999991e+003	2.12239633404583e-003,1.05691447986087e-004
1.02329299228075e+004	2.12263265921037e-003,1.03297117583697e-004
1.04712854805089e+004	2.12285839712470e-003,1.00956523511295e-004
1.07151930523760e+004	2.12307401998459e-003,9.86684934066369e-005
1.09647819614318e+004	2.12327997911080e-003,9.64318782287568e-005
1.12201845430195e+004	2.12347670585567e-003,9.42455519487316e-005
1.14815362149687e+004	2.12366461247171e-003,9.21084112329898e-005
1.17489755493952e+004	2.12384409294382e-003,9.00193751203440e-005
1.20226443461740e+004	2.12401552378632e-003,8.79773846936788e-005
1.23026877081237e+004	2.12417926480643e-003,8.59814027472627e-005
1.25892541179416e+004	2.12433565983530e-003,8.40304134505272e-005
1.28824955169312e+004	2.12448503742797e-003,8.21234220091553e-005
1.31825673855640e+004	2.12462771153348e-003,8.02594543242571e-005
1.34896288259164e+004	2.12476398213644e-003,7.84375566500536e-005
1.38038426460287e+004	2.12489413587094e-003,7.66567952511364e-005
1.41253754462274e+004	2.12501844660827e-003,7.49162560594031e-005
1.44543977074591e+004	2.12513717601920e-003,7.32150443314277e-005
1.47910838816819e+004	2.12525057411213e-003,7.15522843067919e-005
1.51356124843619e+004	2.12535887974790e-003,6.99271188677073e-005
1.54881661891247e+004	2.12546232113232e-003,6.83387092002216e-005
1.58489319246110e+004	2.12556111628739e-003,6.67862344576429e-005
1.62181009735891e+004	2.12565547350200e-003,6.52688914261723e-005
1.65958690743755e+004	2.12574559176299e-003,6.37858941934461e-005
1.69824365246173e+004	2.12583166116749e-003,6.23364738197549e-005
1.73780082874936e+004	2.12591386331717e-003,6.09198780126152e-005
1.77827941003891e+004	2.12599237169537e-003,5.95353708046857e-005
1.81970085860997e+004	2.12606735202761e-003,5.81822322351586e-005
1.86208713666285e+004	2.12613896262632e-003,5.68597580350030e-005
1.90546071796323e+004	2.12620735472054e-003,5.55672593161008e-005
1.94984459975803e+004	2.12627267277097e-003,5.43040622642711e-005
1.99526231496886e+004	2.12633505477130e-003,5.30695078365490e-005
2.04173794466951e+004	2.12639463253621e-003,5.18629514625905e-005
2.08929613085402e+004	2.12645153197668e-003,5.06837627504232e-005
2.13796208950221e+004	2.12650587336316e-003,4.95313251965650e-005
2.18776162394953e+004	2.12655777157712e-003,4.84050359004962e-005
2.23872113856832e+004	2.12660733635147e-003,4.73043052837090e-005
2.29086765276775e+004	2.12665467250038e-003,4.62285568131572e-005
2.34422881531990e+004	2.12669988013885e-003,4.51772267292458e-005
2.39883291901947e+004	2.12674305489267e-003,4.41497637783812e-005
2.45470891568501e+004	2.12678428809893e-003,4.31456289501293e-005
2.51188643150956e+004	2.12682366699777e-003,4.21642952185590e-005
2.57039578276884e+004	2.12686127491552e-003,4.12052472887777e-005
2.63026799189536e+004	2.12689719143974e-003,4.02679813473420e-005
2.69153480392689e+004	2.12693149258649e-003,3.93520048174178e-005
2.75422870333814e+004	2.12696425096014e-003,3.84568361185605e-005
2.81838293126443e+004	2.12699553590609e-003,3.75820044307515e-005
2.88403150312658e+004	2.12702541365666e-003,3.67270494627973e-005
2.95120922666636e+004	2.12705394747052e-003,3.58915212253067e-005
3.01995172040199e+004	2.12708119776586e-003,3.50749798079222e-005
3.09029543251356e+004	2.12710722224768e-003,3.42769951607142e-005
3.16227766016835e+004	2.12713207602934e-003,3.34971468800811e-005
3.23593656929625e+004	2.12715581174875e-003,3.27350239985376e-005
3.31131121482588e+004	2.12717847967929e-003,3.19902247788453e-005
3.38844156139199e+004	2.12720012783591e-003,3.12623565123528e-005
3.46736850452528e+004	2.12722080207630e-003,3.05510353210381e-005
3.54813389233572e+004	2.12724054619774e-003,2.98558859638063e-005
3.63078054770098e+004	2.12725940202948e-003,2.91765416466025e-005
3.71535229097169e+004	2.12727740952104e-003,2.85126438365519e-005
3.80189396320557e+004	2.12729460682658e-003,2.78638420795988e-005
3.89045144994277e+004	2.12731103038543e-003,2.72297938222006e-005
3.98107170553493e+004	2.12732671499910e-003,2.66101642366519e-005
4.07380277804108e+004	2.12734169390478e-003,2.60046260499855e-005
4.16869383470331e+004	2.12735599884556e-003,2.54128593763156e-005
4.26579518801588e+004	2.12736966013754e-003,2.48345515530301e-005
4.36515832240161e+004	2.12738270673389e-003,2.42693969802282e-005
4.46683592150958e+004	2.12739516628605e-003,2.37170969635982e-005
4.57088189614870e+004	2.12740706520224e-003,2.31773595604017e-005
4.67735141287193e+004	2.12741842870323e-003,2.26498994291733e-005
4.78630092322633e+004	2.12742928087575e-003,2.21344376825180e-005
4.89778819368441e+004	2.12743964472341e-003,2.16307017425100e-005
5.01187233627267e+004	2.12744954221535e-003,2.11384252000553e-005
5.12861383991359e+004	2.12745899433273e-003,2.06573476767171e-005
5.24807460249767e+004	2.12746802111317e-003,2.01872146895725e-005
5.37031796370247e+004	2.12747664169306e-003,1.97277775195319e-005
5.49540873857619e+004	2.12748487434817e-003,1.92787930812663e-005
5.62341325190343e+004	2.12749273653223e-003,1.88400237977330e-005
5.75439937337151e+004	2.12750024491397e-003,1.84112374758863e-005
5.88843655355583e+004	2.12750741541234e-003,1.79922071857410e-005
6.02559586074351e+004	2.12751426323024e-003,1.75827111424596e-005
6.16595001861475e+004	2.12752080288672e-003,1.71825325900548e-005
6.30957344480186e+004	2.12752704824770e-003,1.67914596886649e-005
6.45654229034648e+004	2.12753301255536e-003,1.64092854035835e-005
6.60693448007589e+004	2.12753870845617e-003,1.60358073971076e-005
6.76082975391974e+004	2.12754414802769e-003,1.56708279227279e-005
6.91830970918929e+004	2.12754934280413e-003,1.53141537214164e-005
7.07945784384130e+004	2.12755430380080e-003,1.49655959205548e-005
7.24435960074982e+004	2.12755904153743e-003,1.46249699348218e-005
7.41310241300909e+004	2.12756356606048e-003,1.42920953695798e-005
7.58577575029175e+004	2.12756788696442e-003,1.39667959259275e-005
7.76247116628683e+004	2.12757201341203e-003,1.36488993085250e-005
7.94328234724272e+004	2.12757595415384e-003,1.33382371347257e-005
8.12830516164090e+004	2.12757971754669e-003,1.30346448464169e-005
8.31763771102661e+004	2.12758331157138e-003,1.27379616235485e-005
8.51138038202367e+004	2.12758674384965e-003,1.24480302990628e-005
8.70963589956071e+004	2.12759002166029e-003,1.21646972770529e-005
8.91250938133735e+004	2.12759315195458e-003,1.18878124511748e-005
9.12010839355899e+004	2.12759614137101e-003,1.16172291260017e-005
9.33254300796980e+004	2.12759899624939e-003,1.13528039398021e-005
9.54992586021425e+004	2.12760172264422e-003,1.10943967889880e-005
9.77237220955799e+004	2.12760432633760e-003,1.08418707542702e-005
1.00000000000000e+005	2.12760681285141e-003,1.05950920282491e-005
